controller,step,time_s,intervened,nominal_u1,nominal_u2,nominal_u3,executed_u1,executed_u2,executed_u3,action_change_norm,slosh_mm,distance_to_goal_m
PPO + BRT,132,1.3300,1,-0.5020285,0.0220875,0.0528190,-0.0688005,0.0274768,-0.1397794,0.4741410,0.17852,0.507029
PPO + BRT,133,1.3400,1,-0.5025312,0.0240256,0.0541364,-0.0398657,0.0272091,-0.1496947,0.5055854,0.19583,0.505680
PPO + BRT,134,1.3500,1,-0.5027732,0.0263707,0.0555837,-0.0078248,0.0265130,-0.1606543,0.5401229,0.21793,0.504344
PPO + BRT,135,1.3600,1,-0.5026448,0.0290584,0.0570937,0.0336545,0.0250264,-0.1750434,0.5843979,0.24566,0.503022
PPO + BRT,136,1.3700,1,-0.5018892,0.0322341,0.0587849,0.0843356,0.0223163,-0.1927601,0.6379912,0.28008,0.501715
PPO + BRT,137,1.3800,1,-0.5001869,0.0359605,0.0607220,0.1428659,0.0177206,-0.2126059,0.6989691,0.32237,0.500427
PPO + BRT,138,1.3900,1,-0.4971949,0.0401796,0.0628729,0.2186271,0.0098379,-0.2385239,0.7772784,0.37405,0.499161
PPO + BRT,139,1.4000,1,-0.4922278,0.0450282,0.0654550,0.3105674,-0.0031294,-0.2694090,0.8711677,0.43707,0.497919
PPO + BRT,140,1.4100,1,-0.4845254,0.0504086,0.0685284,0.4292493,-0.0249723,-0.3092109,0.9916418,0.51400,0.496708
PPO + BRT,141,1.4200,1,-0.4728570,0.0562740,0.0723270,0.5938396,-0.0634358,-0.3653429,1.1591923,0.60879,0.495534
PPO + BRT,142,1.4300,1,-0.4551494,0.0626935,0.0773117,0.8143455,-0.1327444,-0.4419793,1.3854518,0.72731,0.494404
PPO + BRT,143,1.4400,1,-0.4293385,0.0699151,0.0834287,1.1407734,-0.2705246,-0.5643215,1.7322618,0.87883,0.493330
PPO + BRT,144,1.4500,1,-0.3930883,0.0808509,0.0900854,1.7023259,-0.6049948,-0.8113413,2.3819561,1.08085,0.492328
PPO + BRT,145,1.4600,1,-0.3441348,0.1062027,0.0943141,2.8310747,-1.8613876,-1.5379395,4.0764713,1.37286,0.491427
PPO + BRT,146,1.4700,1,-0.2793923,0.1766814,0.0865454,-1.6052401,-10.0865250,-3.9594662,11.1113224,1.66364,0.490683
PPO + BRT,147,1.4800,1,-0.3056543,0.3831583,-0.0407421,3.2528670,2.4105399,-1.4882793,4.3438134,1.95491,0.489820
PPO + BRT,148,1.4900,1,-0.2561253,0.3431480,0.0376187,-15.0000000,15.0000000,15.0000000,25.6140194,1.75409,0.489167
PPO + BRT,149,1.5000,0,-0.3008354,-0.3161422,-0.1375569,-0.3008354,-0.3161422,-0.1375569,0.0000000,1.03352,0.487718
PPO + BRT,150,1.5100,0,-0.3251446,-0.3044258,-0.1236255,-0.3251446,-0.3044258,-0.1236255,0.0000000,0.34962,0.486265
PPO + BRT,151,1.5200,0,-0.3434818,-0.2897908,-0.1157161,-0.3434818,-0.2897908,-0.1157161,0.0000000,0.39310,0.484808
PPO + BRT,152,1.5300,1,-0.3482028,-0.2692401,-0.1108718,0.5654364,-0.1682658,-0.4741821,0.9883960,0.95497,0.483346
PPO + BRT,153,1.5400,1,-0.3432487,-0.2552376,-0.0886591,1.1941199,-0.0460056,-0.7196262,1.6749327,1.38701,0.481931
PPO + BRT,154,1.5500,1,-0.3230834,-0.2562860,-0.0196703,1.3636630,-0.0078272,-0.7476325,1.8538539,1.64975,0.480597
PPO + BRT,155,1.5600,1,-0.3299478,-0.2667647,0.0886555,1.0827770,-0.0624808,-0.5641648,1.5696169,1.74988,0.479354
PPO + BRT,156,1.5700,1,-0.4484732,-0.1967828,0.1162666,0.4490601,-0.0784867,-0.3333115,1.0107821,1.72295,0.478184
PPO + BRT,157,1.5800,1,-0.4706295,-0.1015196,0.1142453,-0.1255397,-0.0629372,-0.0696405,0.3929243,1.61402,0.477051
PPO + BRT,158,1.5900,1,-0.4625087,-0.0432690,0.1153220,-0.4074780,-0.0382578,0.0849309,0.0630643,1.45695,0.475922
PPO + BRT,159,1.6000,1,-0.4534690,-0.0042928,0.1140411,-0.4262552,-0.0023686,0.0987138,0.0312925,1.26901,0.474782
PPO + BRT,160,1.6100,1,-0.4429636,0.0268920,0.1112469,-0.2771729,0.0346958,0.0165758,0.1910761,1.05550,0.473629
PPO + BRT,161,1.6200,1,-0.4301544,0.0520267,0.1084879,0.0126845,0.0585734,-0.1485413,0.5120675,0.81430,0.472473
PPO + BRT,162,1.6300,1,-0.4144569,0.0677156,0.1077682,0.4621654,0.0367850,-0.4147426,1.0210000,0.53778,0.471331
PPO + BRT,163,1.6400,1,-0.3940051,0.0692489,0.1112790,1.1866080,-0.1273374,-0.8827018,1.8774934,0.22246,0.470227
PPO + BRT,164,1.6500,1,-0.3662278,0.0641562,0.1183063,2.4811752,-0.9022550,-1.9468189,3.6477933,0.28322,0.469203
PPO + BRT,165,1.6600,1,-0.3272863,0.0867560,0.1222374,2.1856291,-6.8743029,-4.9916224,8.9957018,0.80338,0.468329
PPO + BRT,166,1.6700,1,-0.2543470,0.2822935,0.0912840,-8.5162191,-4.8658729,1.3440808,9.8148689,1.11228,0.467568
PPO + BRT,167,1.6800,1,-0.2980403,0.2578669,-0.1134407,0.3601596,0.4016708,-0.3233269,0.7056620,1.17451,0.466315
PPO + BRT,168,1.6900,1,-0.3300250,0.2568899,-0.0883567,0.3809674,0.3982822,-0.3121723,0.7586800,1.24233,0.465100
PPO + BRT,169,1.7000,1,-0.3787824,0.2577211,-0.0579945,0.3296014,0.3813803,-0.2758304,0.7513665,1.29762,0.463923
PPO + BRT,170,1.7100,1,-0.4341752,0.2522750,-0.0245725,0.1905063,0.3433523,-0.2096311,0.6578516,1.32580,0.462780
PPO + BRT,171,1.7200,1,-0.4833128,0.2302864,0.0062597,-0.0270336,0.2830918,-0.1221502,0.4769364,1.31534,0.461662
PPO + BRT,172,1.7300,1,-0.5165820,0.1871934,0.0278088,-0.3004548,0.2064890,-0.0293678,0.2243935,1.25745,0.460557
PPO + BRT,173,1.7400,0,-0.5282077,0.1273139,0.0341997,-0.5282077,0.1273139,0.0341997,0.0000000,1.14801,0.459449
PPO + BRT,174,1.7500,0,-0.5230403,0.0641145,0.0252766,-0.5230403,0.0641145,0.0252766,0.0000000,0.99331,0.458325
PPO + BRT,175,1.7600,0,-0.5212399,0.0142820,0.0142237,-0.5212399,0.0142820,0.0142237,0.0000000,0.80787,0.457184
PPO + BRT,176,1.7700,1,-0.5214164,-0.0225351,0.0063407,-0.3561656,-0.0105842,-0.0287225,0.1693519,0.61366,0.456027
PPO + BRT,177,1.7800,1,-0.5299494,-0.0436554,0.0077927,-0.0773019,-0.0074465,-0.0846175,0.4634010,0.44318,0.454862
PPO + BRT,178,1.7900,1,-0.5532098,-0.0496113,0.0221810,0.2104796,0.0161828,-0.1278733,0.7810677,0.33325,0.453706
PPO + BRT,179,1.8000,1,-0.5983195,-0.0426209,0.0509369,0.4278347,0.0483826,-0.1421964,1.0481291,0.29699,0.452573
PPO + BRT,180,1.8100,1,-0.6649195,-0.0267956,0.0859652,0.5328472,0.0764620,-0.1278206,1.2210699,0.29720,0.451475
PPO + BRT,181,1.8200,1,-0.7234069,-0.0105206,0.1088013,0.5220156,0.0866742,-0.0986389,1.2663158,0.29352,0.450418
PPO + BRT,182,1.8300,1,-0.7381278,-0.0016871,0.1186332,0.4284250,0.0738337,-0.0584364,1.1823293,0.27799,0.449401
PPO + BRT,183,1.8400,1,-0.7175628,0.0058209,0.1201184,0.3004504,0.0555768,-0.0176291,1.0284945,0.26644,0.448417
PPO + BRT,184,1.8500,1,-0.6841714,0.0218417,0.1123302,0.1753438,0.0507836,0.0096038,0.8661158,0.28119,0.447460
PPO + BRT,185,1.8600,1,-0.6520566,0.0450808,0.0975721,0.1441979,0.0619264,0.0129219,0.8009186,0.32926,0.446522
PPO + BRT,186,1.8700,1,-0.6223099,0.0716088,0.0801653,0.1479304,0.0786241,0.0070056,0.7737388,0.40155,0.445601
PPO + BRT,187,1.8800,1,-0.5961092,0.0985901,0.0621096,0.2323873,0.0957713,-0.0087404,0.8315251,0.48814,0.444697
PPO + BRT,188,1.8900,1,-0.5701306,0.1237777,0.0460387,0.3355084,0.1055287,-0.0228105,0.9084356,0.58483,0.443815
PPO + BRT,189,1.9000,1,-0.5446740,0.1459001,0.0326774,0.5124535,0.1002152,-0.0370977,1.0604123,0.69256,0.442961
PPO + BRT,190,1.9100,1,-0.5161701,0.1648201,0.0236501,0.7497320,0.0625352,-0.0433390,1.2717931,0.81682,0.442144
