controller,step,time_s,intervened,nominal_u1,nominal_u2,nominal_u3,executed_u1,executed_u2,executed_u3,action_change_norm,slosh_mm,distance_to_goal_m
PD + BRT,120,1.2100,1,-3.0622373,-0.1601482,1.1394153,0.1576271,-0.0537288,-0.1153772,3.4573627,0.52391,0.439584
PD + BRT,121,1.2200,1,-3.0617082,-0.1586430,1.1423409,0.1889102,-0.0636619,-0.1292688,3.4917808,0.56334,0.438185
PD + BRT,122,1.2300,1,-3.0622017,-0.1568280,1.1457114,0.2234578,-0.0749462,-0.1441658,3.5307288,0.60596,0.436811
PD + BRT,123,1.2400,1,-3.0638208,-0.1546608,1.1495601,0.2566279,-0.0878866,-0.1585940,3.5694687,0.65161,0.435463
PD + BRT,124,1.2500,1,-3.0665312,-0.1520897,1.1538752,0.2973230,-0.1020539,-0.1765716,3.6177490,0.70021,0.434142
PD + BRT,125,1.2600,1,-3.0705633,-0.1490754,1.1587654,0.3377228,-0.1183254,-0.1949548,3.6674130,0.75178,0.432851
PD + BRT,126,1.2700,1,-3.0759156,-0.1455518,1.1642470,0.3783172,-0.1365834,-0.2143140,3.7191713,0.80621,0.431591
PD + BRT,127,1.2800,1,-3.0826011,-0.1414567,1.1703521,0.4231406,-0.1567665,-0.2358877,3.7772965,0.86341,0.430365
PD + BRT,128,1.2900,1,-3.0907536,-0.1367286,1.1771502,0.4652118,-0.1792946,-0.2577432,3.8347909,0.92326,0.429174
PD + BRT,129,1.3000,1,-3.1002986,-0.1312938,1.1846544,0.5106846,-0.2036079,-0.2819673,3.8981290,0.98553,0.428022
PD + BRT,130,1.3100,1,-3.1113443,-0.1250941,1.1929384,0.5518729,-0.2303066,-0.3060890,3.9594586,1.04992,0.426909
PD + BRT,131,1.3200,1,-3.1237712,-0.1180535,1.2020044,0.5924615,-0.2581742,-0.3315034,4.0226440,1.11590,0.425838
PD + BRT,132,1.3300,1,-3.1375670,-0.1101323,1.2118955,0.6272113,-0.2868308,-0.3560282,4.0820537,1.18275,0.424811
PD + BRT,133,1.3400,1,-3.1525640,-0.1013017,1.2225889,0.6545444,-0.3148456,-0.3792248,4.1358776,1.24938,0.423829
PD + BRT,134,1.3500,1,-3.1685443,-0.0915753,1.2340492,0.6714849,-0.3402884,-0.3988269,4.1801877,1.31426,0.422894
PD + BRT,135,1.3600,1,-3.1852002,-0.0810256,1.2461728,0.6711958,-0.3596859,-0.4093788,4.2059832,1.37523,0.422007
PD + BRT,136,1.3700,1,-3.2020166,-0.0698291,1.2586912,0.6372092,-0.3642619,-0.4015713,4.1931868,1.42890,0.421165
PD + BRT,137,1.3800,1,-3.2179809,-0.0584276,1.2710546,0.5713479,-0.3440978,-0.3665484,4.1379180,1.47046,0.420368
